Geo_Code,FED_Name,TotPopPrivateHouseholdsByReligion,TotBuddhist,TotChristian,TotAnglican,TotBaptist,TotCatholic,TotChristianOrthodox,TotLutheran,TotPentecostal,TotPresbyterian,TotUnitedChurch,TotOtherChristian,TotHindu,TotJewish,TotMuslim,TotSikh,TotAboriginal,TotOther,TotNoReligiousAffiliation,MaleTotPopPrivateHouseholdsByReligion,MaleBuddhist,MaleChristian,MaleAnglican,MaleBaptist,MaleCatholic,MaleChristianOrthodox,MaleLutheran,MalePentecostal,MalePresbyterian,MaleUnitedChurch,MaleOtherChristian,MaleHindu,MaleJewish,MaleMuslim,MaleSikh,MaleAboriginal,MaleOther,MaleNoReligiousAffiliation,FemaleTotPopPrivateHouseholdsByReligion,FemaleBuddhist,FemaleChristian,FemaleAnglican,FemaleBaptist,FemaleCatholic,FemaleChristianOrthodox,FemaleLutheran,FemalePentecostal,FemalePresbyterian,FemaleUnitedChurch,FemaleOtherChristian,FemaleHindu,FemaleJewish,FemaleMuslim,FemaleSikh,FemaleAboriginal,FemaleOther,FemaleNoReligiousAffiliation
10001,Avalon,80155,60,76670,24195,105,34450,0,25,2820,130,10860,4085,0,0,20,0,0,65,3325,39650,25,37725,11755,55,17085,0,0,1310,75,5480,1950,0,0,0,0,0,15,1860,40505,40,38940,12440,50,17370,0,0,1505,50,5380,2140,0,0,0,0,0,45,1465
10002,Bonavista--Burin--Trinity,75960,15,73680,20655,105,16750,35,45,3690,60,21790,10550,0,25,70,0,0,0,2160,37480,10,36170,10035,60,8260,20,40,1775,40,10750,5190,0,0,35,0,0,0,1245,38475,0,37505,10620,45,8490,0,0,1915,20,11040,5360,0,0,30,0,0,0,910
10003,Coast of Bays--Central--Notre Dame,76750,45,71310,15075,105,15280,45,0,14615,155,11610,14415,35,0,0,0,0,165,5170,37665,25,34860,7440,70,7400,0,0,7175,40,5535,7180,0,0,0,0,0,75,2665,39080,15,36445,7640,35,7880,25,0,7440,110,6070,7230,25,0,0,0,0,95,2505
10004,Labrador,26550,0,24785,6830,145,7555,25,0,2545,135,3230,4315,0,0,0,0,20,0,1700,13475,0,12445,3495,70,3830,10,0,1220,70,1595,2145,0,0,0,0,15,0,990,13080,0,12345,3330,75,3730,0,0,1325,60,1635,2175,0,0,0,0,10,0,710
10005,Long Range Mountains,86510,15,82520,31735,160,29730,0,75,5640,120,9105,5955,30,0,60,10,0,75,3765,42115,0,39830,15265,70,14160,0,25,2700,45,4590,2975,0,0,35,0,0,35,2170,44395,0,42685,16470,85,15570,0,50,2935,80,4510,2980,25,0,30,0,0,35,1600
10006,St. John's East,80490,175,69680,14915,350,35920,100,220,1960,790,10955,4470,500,70,775,80,0,180,9020,39045,130,33140,7190,175,17095,80,140,920,375,5120,2030,260,50,485,60,0,110,4825,41440,45,36545,7725,175,18825,25,80,1035,410,5835,2435,235,20,295,25,0,75,4195
10007,St. John's South--Mount Pearl,80860,85,74075,13840,260,41895,55,55,1925,365,10830,4840,40,45,245,0,0,190,6180,38525,25,34650,6145,125,19475,0,25,835,150,5265,2615,25,0,120,0,0,95,3600,42340,60,39425,7700,135,22415,35,30,1095,220,5565,2230,20,45,120,0,0,90,2580
11001,Cardigan,35535,80,31305,1140,1885,16520,0,55,495,2890,4420,3885,55,15,50,0,0,0,4010,17550,40,15050,440,885,8160,0,0,215,1385,2115,1835,35,0,25,0,0,0,2400,17980,40,16260,700,1000,8355,0,0,280,1505,2310,2045,25,0,30,0,10,0,1610
11002,Charlottetown,33315,405,25120,1380,1235,13185,245,40,115,2080,3775,3075,120,70,525,10,0,135,6930,15405,215,11170,660,540,5835,105,15,50,905,1750,1300,60,0,275,0,0,45,3635,17910,185,13950,715,695,7345,140,20,65,1175,2025,1770,65,60,255,10,0,90,3295
11003,Egmont,33820,0,29670,1320,1005,17005,30,50,470,1335,5540,2910,25,0,75,0,45,50,3940,16540,0,14240,640,500,8040,0,30,280,575,2730,1420,0,0,45,0,20,35,2170,17285,0,15425,680,505,8960,0,25,185,760,2815,1485,0,0,35,0,20,0,1775
11004,Malpeque,34705,70,29530,1980,1730,12190,0,115,195,2520,7400,3400,0,0,0,0,0,145,4935,17015,40,14190,940,855,5730,0,60,75,1335,3670,1520,0,0,0,0,0,70,2700,17695,25,15340,1050,875,6450,0,60,125,1185,3735,1870,0,0,0,0,0,75,2235
12001,Cape Breton--Canso,74320,65,67940,4980,1465,48335,95,150,235,2100,7770,2815,0,30,95,0,115,60,6010,36205,20,32575,2510,675,23185,80,20,110,1055,3535,1405,0,15,30,0,60,10,3480,38120,45,35370,2470,790,25150,15,125,130,1045,4230,1405,0,15,65,0,50,50,2530
12002,Central Nova,73660,100,59910,7900,2875,25400,80,125,630,8480,10030,4390,50,15,25,0,20,140,13400,35800,30,28420,3910,1285,12110,50,45,275,4095,4580,2075,0,0,20,0,10,70,7235,37855,70,31490,3990,1585,13295,35,80,350,4380,5455,2315,40,0,0,0,0,70,6160
12003,Cumberland--Colchester,80265,55,59030,5965,9370,13045,135,155,980,2425,20400,6555,110,0,20,0,40,240,20765,38850,20,27485,2765,4425,6280,100,105,440,1035,9190,3155,40,0,15,0,20,75,11200,41415,35,31545,3210,4945,6760,35,45,545,1390,11215,3400,70,0,0,0,20,165,9565
12004,Dartmouth--Cole Harbour,90100,185,65650,11415,5565,29745,325,610,880,1320,10580,5205,330,145,610,55,15,380,22730,43035,90,29960,5150,2360,13825,170,270,355,565,4795,2475,175,80,355,30,0,120,12225,47065,90,35685,6265,3205,15925,150,335,525,760,5790,2730,160,65,255,30,0,260,10505
12005,Halifax,89505,850,54675,8380,4115,25820,1125,830,615,1185,7155,5450,445,820,3005,195,0,540,28975,43120,455,24320,3710,1770,11780,615,420,200,695,2825,2305,250,370,1860,100,0,240,15535,46390,395,30360,4670,2345,14040,510,415,420,485,4335,3140,195,450,1145,95,0,295,13440
12006,Halifax West,86170,385,62220,9815,4500,28620,1050,700,725,1315,9320,6170,745,295,3790,100,20,275,18340,41335,200,28530,4745,1980,12705,605,355,290,645,4350,2860,375,145,1940,55,0,135,9950,44840,185,33690,5070,2525,15920,445,345,435,675,4970,3310,370,150,1850,50,0,145,8390
12007,Kings--Hants,82230,130,58925,10255,14330,14095,75,250,1255,1370,12570,4720,45,95,150,15,150,220,22505,40255,35,27345,4955,6465,6940,20,70,435,535,5785,2125,15,20,130,0,75,85,12535,41975,95,31575,5300,7865,7150,50,175,820,835,6785,2595,30,75,25,0,75,130,9970
12008,Sackville--Preston--Chezzetcook,85040,60,66530,13070,6510,28110,85,525,1290,1155,10490,5300,10,50,70,0,0,240,18080,41955,20,31935,6245,3100,13730,60,295,640,475,4800,2585,0,15,30,0,0,105,9840,43085,35,34595,6825,3405,14380,30,225,650,675,5690,2710,0,35,35,0,0,135,8235
12009,South Shore--St. Margarets,91330,200,68470,17920,12730,14260,90,5665,1355,950,10475,5025,30,90,285,0,10,160,22065,45080,105,32695,8545,5980,6870,45,2825,655,470,4700,2605,20,50,100,0,0,50,12050,46250,95,35775,9380,6750,7395,40,2845,705,480,5770,2425,0,45,190,0,0,115,10015
12010,Sydney--Victoria,71730,40,65060,5385,1370,45035,230,30,275,2890,5955,3895,40,140,355,0,165,170,5755,34340,0,30675,2580,690,21330,120,0,100,1325,2780,1735,0,90,295,0,85,75,3090,37395,30,34385,2805,675,23705,110,15,170,1565,3175,2165,30,45,55,0,80,90,2670
12011,West Nova,81820,130,62045,5020,17990,25790,85,455,1345,365,4955,6035,40,115,100,0,40,295,19050,39595,40,29060,2270,8265,12470,60,245,595,190,2140,2820,30,75,60,0,20,125,10190,42225,95,32990,2750,9725,13325,25,210,755,175,2820,3210,0,40,40,0,20,170,8860
13001,Acadie--Bathurst,77640,60,74560,710,395,70255,0,35,620,100,1215,1220,15,0,85,0,15,115,2780,38585,20,36870,330,150,34760,0,0,310,35,675,590,0,0,40,0,10,45,1590,39055,45,37695,380,245,35500,0,30,305,65,540,625,0,0,45,0,0,70,1190
13002,Beausejour,77985,35,69165,2195,4115,55705,40,80,650,575,3220,2580,0,65,0,0,55,110,8510,38800,0,33800,900,2010,27245,0,35,345,285,1630,1345,0,45,0,0,30,50,4815,39180,0,35365,1300,2100,28465,30,50,305,290,1590,1240,0,20,0,0,25,65,3695
13003,Fredericton,80195,280,58135,7540,9020,22425,230,205,2035,1015,8495,7170,330,140,590,0,40,405,20270,39030,100,26935,3580,4105,10510,140,100,940,545,3725,3290,150,75,330,0,25,160,11250,41165,180,31200,3960,4920,11915,95,100,1095,470,4770,3880,180,65,260,0,10,245,9015
13004,Fundy Royal,78780,30,63120,9060,14255,20650,15,90,2130,1000,8540,7365,0,35,50,0,0,225,15290,39030,0,30120,4350,6685,10000,0,45,975,515,4090,3445,0,15,25,0,0,125,8720,39745,25,33005,4710,7570,10650,15,45,1160,485,4450,3920,0,15,30,0,0,100,6575
13005,Madawaska--Restigouche,60630,0,58100,965,215,53520,80,55,800,230,1135,1095,95,45,150,0,30,60,2140,29535,0,28170,475,65,25920,50,30,395,95,615,535,40,30,85,0,15,30,1170,31100,0,29935,490,150,27605,30,30,405,135,525,565,55,15,70,0,15,30,965
13006,Miramichi--Grand Lake,58620,0,53405,3375,4195,34285,0,20,2145,1090,5885,2400,25,0,80,0,235,80,4770,28670,0,25765,1675,2125,16480,0,0,945,560,2785,1175,0,0,40,0,115,25,2710,29950,0,27640,1695,2075,17800,0,0,1205,530,3100,1225,15,0,45,0,125,55,2055
13007,Moncton--Riverview--Dieppe,87480,340,68510,4275,7790,41800,135,80,735,860,6910,5930,100,125,825,0,20,305,17250,41645,185,31815,2030,3505,19640,80,40,300,470,2915,2845,55,70,410,0,0,105,8990,45835,155,36695,2245,4290,22160,55,45,435,395,3995,3080,45,55,415,0,0,200,8255
13008,New Brunswick Southwest,65255,55,52085,8695,10550,14825,130,200,3770,1465,6545,5910,0,30,0,0,0,150,12920,32085,30,24835,3905,4940,7440,65,85,1805,785,3000,2815,0,15,0,0,0,85,7120,33170,25,27250,4790,5610,7390,60,115,1965,680,3550,3095,0,10,0,0,0,70,5800
13009,Saint John--Rothesay,79870,115,63975,9810,7500,31620,230,65,1725,785,6340,5905,180,155,690,0,0,325,14420,37840,50,29390,4370,3530,14680,145,35,805,340,2595,2880,85,65,430,0,0,120,7695,42035,70,34585,5430,3970,16935,85,40,920,445,3740,3025,95,90,260,0,0,205,6725
13010,Tobique--Mactaquac,69375,40,55845,4740,12945,21015,105,240,3820,655,5975,6345,50,0,140,0,95,110,13090,34260,25,26525,2275,6130,10145,35,70,1810,315,2835,2920,0,0,80,0,55,45,7500,35115,15,29315,2465,6820,10870,70,170,2015,340,3145,3425,30,0,55,0,40,60,5595
24001,Abitibi--Baie-James--Nunavik--Eeyou,84445,45,76415,18630,440,50495,35,15,4980,25,35,1765,0,10,315,0,380,25,7240,43085,25,38745,9410,200,25790,25,0,2440,10,20,855,0,10,185,0,180,10,3930,41370,20,37675,9225,240,24705,10,15,2535,15,20,915,0,10,135,0,195,15,3320
24002,Abitibi--Temiscamingue,100525,15,92110,225,95,89885,45,0,460,0,95,1280,0,0,185,0,130,95,7995,50610,0,45870,100,65,44670,40,0,225,0,50,720,0,0,120,0,60,60,4505,49910,0,46240,125,35,45215,0,0,240,0,50,565,0,0,65,0,70,35,3495
24003,Ahuntsic-Cartierville,106525,2200,72025,260,640,54165,8830,95,1180,220,70,6555,1755,220,15400,265,0,240,14420,52225,1045,33450,140,305,24775,4320,45,465,130,50,3220,860,115,8240,125,0,150,8245,54295,1160,38575,120,340,29390,4510,50,710,90,15,3340,900,105,7155,135,0,90,6170
24004,Alfred-Pellan,95430,945,81170,140,1095,73250,1540,110,570,45,50,4370,160,155,4645,0,0,80,8275,46410,415,39055,60,510,35205,760,65,270,20,0,2145,95,110,2240,0,0,55,4450,49020,530,42110,80,580,38045,780,45,300,25,40,2230,65,45,2410,0,0,25,3830
24005,Argenteuil--La Petite-Nation,92630,90,83040,1460,520,75940,165,185,240,520,1250,2750,0,140,110,0,0,60,9180,46445,45,41185,680,285,37795,80,85,120,230,570,1345,0,60,65,0,0,25,5055,46185,45,41850,780,235,38150,85,100,120,290,685,1400,0,80,40,0,0,30,4125
24006,Avignon--La Mitis--Matane--Matapedia,72380,15,68855,95,220,67160,0,0,180,15,215,960,0,0,175,0,125,30,3180,35970,0,34070,60,85,33325,0,0,85,0,80,430,0,0,80,0,65,15,1730,36410,0,34790,40,130,33835,0,0,95,15,130,530,0,0,95,0,60,15,1450
